Word,Inverted List
político,{(30 1) (131 2) (12 1) (58 1) (71 1) (104 1) (80 2) (2 1) (66 1) (28 1) (51 3) (103 2) (33 1) (64 1) (129 2) (54 3) (62 1) (60 3) (70 3) (38 2) (119 1) (121 3) (4 1) (50 1)}
havia,{(109 1) (3 2) (76 1) (2 1) (112 1) (28 1) (56 1) (5 1) (54 1) (78 2) (121 2) (64 1) (62 1) (108 1) (103 1) (8 1) (70 1) (6 1) (116 1) (80 3) (58 2) (80 1) (16 1) (121 1) (55 1) (101 1)}
mostrado,{(2 1)}
presidente,{(108 2) (94 1) (58 1) (16 9) (41 2) (119 2) (28 8) (48 1) (68 1) (89 3) (100 1) (97 1) (55 4) (8 1) (12 6) (124 3) (56 4) (80 1) (121 7) (88 3) (4 1) (64 2) (63 1) (74 2) (96 1) (30 1) (54 2) (76 1) (99 5) (94 3) (20 1) (66 1) (2 3) (27 4) (8 7) (31 3) (115 1) (71 2) (13 1) (126 3) (6 1) (131 1) (60 3) (97 6) (55 1) (101 1) (22 1) (3 4) (103 2)}
menor,{(30 1) (116 3) (103 1) (72 1) (2 1) (111 1) (16 1) (86 1) (121 1) (106 1) (56 1) (54 1)}
rejeitam,{(2 1)}
nenhum,{(137 1) (122 1) (2 1) (55 2) (48 1) (28 1) (33 1) (31 1) (6 1) (3 1) (116 1) (131 1) (58 2) (16 1) (78 1) (11 1) (75 1) (42 1) (119 1)}
outro,{(109 1) (28 4) (129 3) (58 1) (122 1) (2 1) (110 1) (92 1) (87 1) (56 1) (69 1) (51 1) (97 1) (31 1) (77 1) (13 1) (103 1) (39 1) (6 1) (98 1) (111 1) (80 1) (16 1) (29 1) (75 1) (121 1) (66 2) (78 3) (86 1) (4 1)}
índices,{(80 1) (125 1) (2 1) (58 2)}
tão,{(32 1) (12 1) (111 2) (122 1) (40 1) (84 1) (81 1) (2 1) (80 2) (66 1) (107 1) (69 1) (54 1) (78 2) (82 1) (31 1) (108 1) (70 1) (16 1) (106 1) (119 1) (88 1)}
baixos,{(2 1)}
primeiros,{(131 1) (16 2) (2 1) (58 2) (48 1) (80 1) (28 1) (119 1) (88 1) (133 1)}
após,{(94 1) (30 1) (131 2) (53 1) (80 2) (2 1) (48 1) (126 5) (56 1) (5 1) (95 1) (99 2) (123 1) (41 1) (105 1) (55 1) (8 1) (136 1) (6 1) (3 1) (112 2) (93 1) (78 1) (42 1) (66 2) (101 1) (68 1) (63 1)}
redemocratização,{(80 1) (2 1)}
país,{(69 4) (91 1) (137 1) (71 1) (41 2) (104 1) (2 1) (48 1) (110 1) (133 1) (18 1) (31 1) (28 5) (12 2) (74 5) (108 3) (13 3) (8 1) (103 1) (94 2) (116 1) (88 3) (37 1) (129 1) (75 6) (74 2) (80 6) (40 1) (9 3) (58 3) (99 1) (125 1) (2 3) (29 2) (92 1) (100 3) (56 1) (33 1) (35 2) (16 5) (105 1) (50 2) (72 1) (6 1) (3 1) (115 4) (119 8) (131 1) (16 1) (81 2) (51 2) (55 1) (84 4) (130 4) (103 2)}
maioria,{(30 1) (94 1) (104 1) (126 2) (16 2) (2 1) (28 1) (130 3) (69 1) (54 1) (100 1) (97 1) (101 4) (108 1) (15 2) (103 1) (80 1) (78 1) (60 1) (5 2)}
desiludidos,{(2 1)}
classe,{(32 1) (13 1) (109 1) (78 1) (108 1) (54 1) (2 1)}
média,{(45 1) (109 1) (91 1) (114 3) (73 1) (84 2) (116 1) (2 1) (15 1) (16 1) (80 1) (78 1) (121 1) (88 1) (63 1)}
estimativa,{(2 1)}
calcula,{(2 1)}
15,{(94 1) (91 1) (104 1) (53 1) (99 1) (2 1) (15 1) (23 1) (115 1) (18 1) (109 2) (103 1) (131 1) (34 1) (78 1) (75 1) (56 2) (106 1) (55 1) (121 1)}
milhões,{(58 1) (80 2) (81 1) (92 1) (69 1) (125 5) (13 1) (116 3) (8 1) (20 2) (16 1) (45 6) (78 1) (2 2) (119 1) (18 11) (103 2)}
eleitores,{(94 1) (94 3) (104 1) (2 1) (129 1) (16 1) (75 1) (88 1) (115 1) (97 1)}
deixaram,{(80 1) (44 1) (66 1) (2 1)}
avaliar,{(94 1) (2 1)}
maneira,{(64 1) (94 1) (58 1) (70 1) (131 1) (16 2) (2 1) (98 1) (66 3) (42 1) (56 1) (54 1) (129 1) (74 2)}
positiva,{(12 2) (94 1) (19 2) (104 2) (2 1) (66 1)}
reagir,{(80 1) (2 1)}
fúria,{(93 1) (97 1) (2 1)}
despencando,{(2 1)}
fez,{(12 1) (9 1) (35 1) (99 1) (20 1) (2 1) (5 2) (13 1) (105 1) (26 1) (103 1) (8 1) (133 2) (134 1) (3 1) (113 1) (58 2) (80 1) (28 2) (29 1) (78 1) (42 1) (88 1) (131 4) (65 1)}
ibge,{(80 1) (125 1) (116 1) (2 1)}
divulgou,{(120 1) (125 1) (43 1) (2 1)}
aumento,{(58 1) (40 1) (116 1) (16 2) (2 1) (80 1) (125 1) (75 1)}
número,{(13 1) (103 1) (8 1) (116 2) (6 1) (99 1) (80 2) (2 1) (66 1) (125 2) (121 1) (51 1)}
desempregados,{(5 1) (116 1) (125 2) (2 1)}
institutos,{(131 1) (2 1) (87 1)}
vão,{(94 1) (76 1) (9 1) (84 1) (81 1) (66 1) (2 1) (16 1) (29 1) (130 1) (69 1) (101 1)}
ter,{(66 6) (9 1) (58 1) (88 6) (38 1) (2 1) (28 1) (131 4) (74 1) (98 2) (120 1) (97 1) (18 1) (129 2) (77 1) (103 1) (8 1) (55 3) (130 2) (50 1) (101 3) (30 1) (27 1) (84 3) (122 1) (105 2) (137 3) (5 2) (85 2) (66 1) (112 1) (121 2) (115 1) (71 2) (95 1) (13 1) (59 1) (108 1) (78 5) (107 2) (49 1) (119 3) (124 1) (58 4) (4 3) (42 1) (68 1)}
mudar,{(13 1) (109 1) (126 1) (58 1) (70 1) (116 1) (81 1) (2 1) (66 1) (119 2) (125 1) (130 1) (42 1) (66 2) (115 1)}
metodologias,{(2 1) (87 1)}
correrão,{(2 1)}
risco,{(12 2) (103 1) (2 1) (15 1) (87 2) (130 1) (75 1) (33 1)}
entrar,{(108 1) (25 1) (71 1) (101 2) (2 1)}
lista,{(99 1) (2 1)}
negra,{(78 3) (103 1) (88 1) (6 1) (2 1)}
comunistas,{(109 1) (5 1) (92 1) (2 1)}
engraçado,{(111 1) (2 1) (98 1)}
incluir,{(131 1) (129 1) (2 1)}
rol,{(16 1) (2 1)}
malditos,{(2 1)}
controle,{(9 1) (8 1) (131 1) (80 2) (2 1) (16 1) (87 1) (88 1) (101 1)}
indireto,{(2 1)}
itaú,{(2 1)}
nada,{(91 1) (137 1) (58 1) (104 1) (38 1) (81 1) (2 1) (130 1) (28 1) (18 1) (77 1) (126 1) (41 1) (8 1) (80 1) (78 12) (11 1) (119 1) (50 1) (122 1) (99 1) (66 1) (125 1) (56 1) (115 1) (101 2) (33 1) (105 1) (137 2) (111 1) (29 1) (88 1) (101 1) (19 1) (27 3) (103 2)}
impossível,{(80 1) (60 1) (130 1) (104 1) (2 1) (49 1) (66 1)}
bolsonaros,{(17 1) (2 1)}
nazismo,{(92 5) (109 1) (76 1) (92 1) (5 1) (2 1) (5 3)}
esquerda,{(109 1) (76 1) (53 1) (75 2) (88 6) (99 1) (2 1) (28 1) (66 3) (118 1) (89 3) (51 1) (92 5) (16 1) (54 4) (93 1)}
terra,{(109 1) (27 1) (91 1) (9 1) (137 1) (48 3) (2 1) (66 1) (88 2) (5 1) (66 5) (126 1) (80 3) (48 2) (16 1) (55 3) (92 2) (55 1)}
plana,{(92 2) (2 1)}
única,{(94 1) (58 1) (131 1) (20 1) (2 1) (16 1) (87 1) (125 1) (28 1) (10 1) (55 1) (119 1) (33 1)}
boa,{(27 1) (8 2) (66 1) (2 1) (130 1) (115 2) (88 2) (89 1) (55 1) (121 1) (101 1) (78 2) (97 1)}
notícia,{(16 1) (42 1) (2 1)}
dada,{(16 1) (62 1) (126 1) (2 1)}
manhã,{(91 1) (2 1) (16 1) (48 1) (125 1) (11 1) (124 1) (121 1) (78 3)}
próprio,{(33 2) (2 1) (87 1) (101 2) (64 1) (13 1) (103 1) (8 1) (9 2) (131 1) (52 1) (16 1) (92 2) (78 1) (93 1) (60 1) (121 1) (124 1)}
ministro,{(101 8) (58 1) (16 2) (2 1) (15 1) (130 1) (70 2) (54 1) (51 1) (126 1) (15 2) (39 1) (8 1) (55 1) (31 5) (106 6) (33 4) (111 1) (80 1) (58 11) (60 1) (106 1) (119 1) (50 1)}
educação,{(87 4) (13 2) (33 16) (88 1) (81 1) (2 1) (80 2) (51 1) (115 1) (33 1) (66 2) (64 1) (13 1) (87 5) (106 6) (80 1) (16 1) (33 6) (106 1) (54 6) (131 6) (119 1) (74 2)}
vélez,{(125 1) (106 3) (2 1) (119 1)}
rodriguez,{(2 1)}
finalmente,{(28 2) (2 1)}
deve,{(32 1) (45 1) (96 1) (28 4) (91 1) (9 1) (54 2) (99 1) (2 1) (66 1) (129 4) (98 2) (87 1) (78 2) (100 1) (33 1) (12 2) (126 1) (137 2) (131 1) (121 1) (106 1) (130 2) (31 2) (110 2) (65 1) (101 3)}
ser,{(40 3) (12 1) (71 1) (38 1) (130 1) (48 1) (6 2) (133 1) (42 2) (28 5) (66 7) (33 3) (70 1) (31 5) (47 1) (106 1) (24 1) (127 3) (64 2) (109 1) (9 3) (27 4) (4 2) (115 1) (101 2) (82 1) (59 1) (45 2) (108 1) (137 2) (3 1) (87 2) (131 8) (29 1) (78 1) (92 2) (58 4) (22 1) (65 1) (77 2) (121 4) (30 3) (88 6) (129 17) (2 1) (119 2) (124 2) (126 5) (120 1) (69 3) (99 2) (104 2) (111 3) (93 1) (60 1) (98 3) (100 2) (110 2) (39 2) (96 1) (84 3) (16 4) (122 1) (80 2) (66 1) (94 4) (55 6) (13 1) (62 1) (105 1) (78 5) (56 2)}
demitido,{(49 1) (2 1)}
segunda-feira,{(53 1) (13 1) (19 1) (2 1)}
menos,{(94 1) (99 3) (137 1) (71 1) (30 3) (2 1) (93 2) (98 2) (133 1) (66 2) (16 7) (41 1) (84 2) (70 1) (116 1) (80 1) (106 1) (86 1) (122 1) (53 1) (60 2) (125 1) (92 1) (130 3) (23 1) (33 1) (13 1) (18 3) (108 1) (15 2) (131 1) (111 1) (16 1) (81 2) (56 2) (55 1) (88 1) (103 2)}
livros,{(33 2) (54 2) (71 1) (106 7) (2 1) (78 1) (74 1) (87 1) (119 1) (5 2) (103 2)}
didáticos,{(33 2) (106 4) (2 1) (87 1)}
salvos,{(2 1)}
colombiano,{(2 1)}
